Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	HPMR.Ligand	HPMR.Receptor
ADAM23_ITGA5	ADAM23	ADAM metallopeptidase domain 23	ITGA5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"	ADAM23	ITGA5
ADAM23_ITGB3	ADAM23	ADAM metallopeptidase domain 23	ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	ADAM23	ITGB3
ADAM28_ITGA4	ADAM28	ADAM metallopeptidase domain 28	ITGA4	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"	ADAM28	ITGA4
ADAM2_CD9	ADAM2	ADAM metallopeptidase domain 2	CD9	CD9 molecule	ADAM2	CD9
ADAM2_ITGA6	ADAM2	ADAM metallopeptidase domain 2	ITGA6	"integrin, alpha 6"	ADAM2	ITGA6
ADAM2_ITGA9	ADAM2	ADAM metallopeptidase domain 2	ITGA9	"integrin, alpha 9"	ADAM2	ITGA9
ADAM2_ITGB1	ADAM2	ADAM metallopeptidase domain 2	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	ADAM2	ITGB1
ADAM2_ITGB7	ADAM2	ADAM metallopeptidase domain 2	ITGB7	"integrin, beta 7"		
ADAM9_ITGA3	ADAM9	ADAM metallopeptidase domain 9	ITGA3	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"	ADAM9	ITGA3
ADAM9_ITGA6	ADAM9	ADAM metallopeptidase domain 9	ITGA6	"integrin, alpha 6"	ADAM9	ITGA6
ADAM9_ITGAV	ADAM9	ADAM metallopeptidase domain 9	ITGAV	"integrin, alpha V"	ADAM9	ITGAV
ADAM9_ITGB1	ADAM9	ADAM metallopeptidase domain 9	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	ADAM9	ITGB1
ADAM9_ITGB5	ADAM9	ADAM metallopeptidase domain 9	ITGB5	"integrin, beta 5"	ADAM9	ITGB5
ADCYAP1_ADCYAP1R1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	ADCYAP1	ADCYAP1R1
ADCYAP1_SCTR	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	SCTR	secretin receptor	ADCYAP1	SCTR
ADCYAP1_VIPR1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR1	vasoactive intestinal peptide receptor 1	ADCYAP1	VIPR1
ADCYAP1_VIPR2	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR2	vasoactive intestinal peptide receptor 2	ADCYAP1	VIPR2
ADIPOQ_ADIPOR1	ADIPOQ	"adiponectin, C1Q and collagen domain containing"	ADIPOR1	adiponectin receptor 1	ADIPOQ	ADIPOR1
ADIPOQ_ADIPOR2	ADIPOQ	"adiponectin, C1Q and collagen domain containing"	ADIPOR2	adiponectin receptor 2	ADIPOQ	ADIPOR2
ADM2_CALCR	ADM2	adrenomedullin 2	CALCR	calcitonin receptor	ADM2	CALCR
ADM2_CALCRL	ADM2	adrenomedullin 2	CALCRL	calcitonin receptor-like	ADM2	CALCRL
ADM2_RAMP1	ADM2	adrenomedullin 2	RAMP1	receptor (G protein-coupled) activity modifying protein 1	ADM2	RAMP1
ADM_CALCR	ADM	adrenomedullin	CALCR	calcitonin receptor	ADM	CALCR
ADM_CALCRL	ADM	adrenomedullin	CALCRL	calcitonin receptor-like	ADM	CALCRL
ADM_GPR182	ADM	adrenomedullin	GPR182	G protein-coupled receptor 182	ADM	ADMR
ADM_MRGPRX2	ADM	adrenomedullin	MRGPRX2	"MAS-related GPR, member X2"	ADM	MRGPRX2
ADM_RAMP2	ADM	adrenomedullin	RAMP2	receptor (G protein-coupled) activity modifying protein 2	ADM	RAMP2
AGRN_ATP1A3	AGRN	agrin	ATP1A3	"ATPase, Na+/K+ transporting, alpha 3 polypeptide"		
AGRN_LRP4	AGRN	agrin	LRP4	low density lipoprotein receptor-related protein 4		
AGRN_MUSK	AGRN	agrin	MUSK	"muscle, skeletal, receptor tyrosine kinase"		MUSK
AGRP_MC3R	AGRP	agouti related protein homolog (mouse)	MC3R	melanocortin 3 receptor	AGRP	MC3R
AGRP_MC4R	AGRP	agouti related protein homolog (mouse)	MC4R	melanocortin 4 receptor	AGRP	MC4R
AGRP_MC5R	AGRP	agouti related protein homolog (mouse)	MC5R	melanocortin 5 receptor	AGRP	MC5R
AGRP_SDC3	AGRP	agouti related protein homolog (mouse)	SDC3	syndecan 3	AGRP	SDC3
AGT_AGTR1	AGT	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	AGTR1	"angiotensin II receptor, type 1"	AGT	AGTR1
AGT_AGTR2	AGT	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	AGTR2	"angiotensin II receptor, type 2"	AGT	AGTR2
AGT_LRP2	AGT	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	LRP2	low density lipoprotein receptor-related protein 2	AGT	LRP2
AGT_MAS1	AGT	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"	MAS1	MAS1 oncogene	AGT	MAS1
AHSG_INSR	AHSG	alpha-2-HS-glycoprotein	INSR	insulin receptor		INSR
ALB_LRP2	ALB	albumin	LRP2	low density lipoprotein receptor-related protein 2	ALB	LRP2
ALOX5AP_ALOX5	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	ALOX5	arachidonate 5-lipoxygenase		
AMELX_LAMP1	AMELX	"amelogenin, X-linked"	LAMP1	lysosomal-associated membrane protein 1		
AMELY_LAMP1	AMELY	"amelogenin, Y-linked"	LAMP1	lysosomal-associated membrane protein 1		
AMH_ACVR1	AMH	anti-Mullerian hormone	ACVR1	"activin A receptor, type I"	AMH	ACVR1
AMH_AMHR2	AMH	anti-Mullerian hormone	AMHR2	"anti-Mullerian hormone receptor, type II"	AMH	AMHR2
AMH_EGFR	AMH	anti-Mullerian hormone	EGFR	epidermal growth factor receptor	AMH	EGFR
ANGPT1_ITGA5	ANGPT1	angiopoietin 1	ITGA5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"	ANGPT1	ITGA5
ANGPT1_ITGB1	ANGPT1	angiopoietin 1	ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	ANGPT1	ITGB1
ANGPT1_TEK	ANGPT1	angiopoietin 1	TEK	"TEK tyrosine kinase, endothelial"	ANGPT1	TEK
ANGPT1_TIE1	ANGPT1	angiopoietin 1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	ANGPT1	TIE1
ANGPT2_TEK	ANGPT2	angiopoietin 2	TEK	"TEK tyrosine kinase, endothelial"	ANGPT2	TEK
ANGPT2_TIE1	ANGPT2	angiopoietin 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	ANGPT2	TIE1
ANGPT4_TEK	ANGPT4	angiopoietin 4	TEK	"TEK tyrosine kinase, endothelial"		TEK
ANGPT4_TIE1	ANGPT4	angiopoietin 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1		TIE1
ANGPTL1_TEK	ANGPTL1	angiopoietin-like 1	TEK	"TEK tyrosine kinase, endothelial"		TEK
ANGPTL2_TIE1	ANGPTL2	angiopoietin-like 2	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1		TIE1
ANGPTL3_ITGA5	ANGPTL3	angiopoietin-like 3	ITGA5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"		ITGA5
ANGPTL3_ITGAV	ANGPTL3	angiopoietin-like 3	ITGAV	"integrin, alpha V"		ITGAV
ANGPTL3_ITGB3	ANGPTL3	angiopoietin-like 3	ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"		ITGB3
ANGPTL4_TIE1	ANGPTL4	angiopoietin-like 4	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	ANGPTL4	TIE1
ANXA1_DYSF	ANXA1	annexin A1	DYSF	dysferlin	ANXA1	
ANXA1_EGFR	ANXA1	annexin A1	EGFR	epidermal growth factor receptor	ANXA1	EGFR
ANXA1_FPR1	ANXA1	annexin A1	FPR1	formyl peptide receptor 1	ANXA1	FPR1
ANXA1_FPR2	ANXA1	annexin A1	FPR2	formyl peptide receptor 2	ANXA1	FPRL1
ANXA1_FPR3	ANXA1	annexin A1	FPR3	formyl peptide receptor 3	ANXA1	FPRL2
APLN_APLNR	APLN	apelin	APLNR	apelin receptor	APLN	AGTRL1
APOB_CALCR	APOB	apolipoprotein B	CALCR	calcitonin receptor	APOB	CALCR
APOB_ITGAM	APOB	apolipoprotein B	ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"	APOB	ITGAM
APOB_ITGB2	APOB	apolipoprotein B	ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"	APOB	ITGB2
APOB_LDLR	APOB	apolipoprotein B	LDLR	low density lipoprotein receptor	APOB	LDLR
APOB_LRP2	APOB	apolipoprotein B	LRP2	low density lipoprotein receptor-related protein 2	APOB	LRP2
APOB_LRP6	APOB	apolipoprotein B	LRP6	low density lipoprotein receptor-related protein 6	APOB	LRP6
APOB_LRP8	APOB	apolipoprotein B	LRP8	"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"	APOB	LRP8
APOB_LSR	APOB	apolipoprotein B	LSR	lipolysis stimulated lipoprotein receptor	APOB	
APOB_OLR1	APOB	apolipoprotein B	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	APOB	OLR1
APOC3_SDC2	APOC3	apolipoprotein C-III	SDC2	syndecan 2	APOC3	SDC2
APOC3_TLR2	APOC3	apolipoprotein C-III	TLR2	toll-like receptor 2	APOC3	TLR2
APOD_LEPR	APOD	apolipoprotein D	LEPR	leptin receptor		LEPR
APOE_CHRNA4	APOE	apolipoprotein E	CHRNA4	"cholinergic receptor, nicotinic, alpha 4 (neuronal)"	APOE	
APOE_LDLR	APOE	apolipoprotein E	LDLR	low density lipoprotein receptor	APOE	LDLR
APOE_LRP1	APOE	apolipoprotein E	LRP1	low density lipoprotein receptor-related protein 1	APOE	LRP1
APOE_LRP2	APOE	apolipoprotein E	LRP2	low density lipoprotein receptor-related protein 2	APOE	LRP2
APOE_LRP5	APOE	apolipoprotein E	LRP5	low density lipoprotein receptor-related protein 5	APOE	LRP5
APOE_LRP8	APOE	apolipoprotein E	LRP8	"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"	APOE	LRP8
APOE_SCARB1	APOE	apolipoprotein E	SCARB1	"scavenger receptor class B, member 1"	APOE	SCARB1
APOE_SORL1	APOE	apolipoprotein E	SORL1	"sortilin-related receptor, L(DLR class) A repeats containing"	APOE	SORL1
APOE_VLDLR	APOE	apolipoprotein E	VLDLR	very low density lipoprotein receptor	APOE	VLDLR
APP_CAV1	APP	amyloid beta (A4) precursor protein	CAV1	"caveolin 1, caveolae protein, 22kDa"		
APP_CD74	APP	amyloid beta (A4) precursor protein	CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"		
APP_FPR2	APP	amyloid beta (A4) precursor protein	FPR2	formyl peptide receptor 2		FPRL1
APP_GPC1	APP	amyloid beta (A4) precursor protein	GPC1	glypican 1		GPC1
APP_LRP1	APP	amyloid beta (A4) precursor protein	LRP1	low density lipoprotein receptor-related protein 1		LRP1
APP_NCSTN	APP	amyloid beta (A4) precursor protein	NCSTN	nicastrin		NCSTN
APP_NGFR	APP	amyloid beta (A4) precursor protein	NGFR	nerve growth factor receptor		NGFR
APP_SLC45A3	APP	amyloid beta (A4) precursor protein	SLC45A3	"solute carrier family 45, member 3"		
APP_TNFRSF21	APP	amyloid beta (A4) precursor protein	TNFRSF21	"tumor necrosis factor receptor superfamily, member 21"		TNFRSF21
AREGB_EGFR	AREGB	amphiregulin B	EGFR	epidermal growth factor receptor		EGFR
AREGB_ERBB3	AREGB	amphiregulin B	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3		ERBB3
AREG_EGFR	AREG	amphiregulin	EGFR	epidermal growth factor receptor	AREG	EGFR
AREG_ERBB3	AREG	amphiregulin	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	AREG	ERBB3
ARF1_CHRM3	ARF1	ADP-ribosylation factor 1	CHRM3	"cholinergic receptor, muscarinic 3"		CHRM3
ARF1_INSR	ARF1	ADP-ribosylation factor 1	INSR	insulin receptor		INSR
ARF1_PLD2	ARF1	ADP-ribosylation factor 1	PLD2	phospholipase D2		
ARTN_GFRA1	ARTN	artemin	GFRA1	GDNF family receptor alpha 1	ARTN	GFRA1
ARTN_GFRA3	ARTN	artemin	GFRA3	GDNF family receptor alpha 3	ARTN	GFRA3
ARTN_RET	ARTN	artemin	RET	ret proto-oncogene	ARTN	RET
ASIP_ATRN	ASIP	agouti signaling protein	ATRN	attractin	ASIP	ATRN
ASIP_F11R	ASIP	agouti signaling protein	F11R	F11 receptor	ASIP	
ASIP_MC1R	ASIP	agouti signaling protein	MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	ASIP	MC1R
ASIP_MC2R	ASIP	agouti signaling protein	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	ASIP	MC2R
ASIP_MC3R	ASIP	agouti signaling protein	MC3R	melanocortin 3 receptor	ASIP	MC3R
ASIP_MC4R	ASIP	agouti signaling protein	MC4R	melanocortin 4 receptor	ASIP	MC4R
ASIP_MC5R	ASIP	agouti signaling protein	MC5R	melanocortin 5 receptor	ASIP	MC5R
ASIP_MGRN1	ASIP	agouti signaling protein	MGRN1	"mahogunin ring finger 1, E3 ubiquitin protein ligase"	ASIP	MGRN1
AVP_AVPR1A	AVP	arginine vasopressin	AVPR1A	arginine vasopressin receptor 1A	AVP	AVPR1A
AVP_AVPR1B	AVP	arginine vasopressin	AVPR1B	arginine vasopressin receptor 1B	AVP	AVPR1B
AVP_AVPR2	AVP	arginine vasopressin	AVPR2	arginine vasopressin receptor 2	AVP	AVPR2
AVP_OXTR	AVP	arginine vasopressin	OXTR	oxytocin receptor	AVP	OXTR
AZGP1_ITGAV	AZGP1	"alpha-2-glycoprotein 1, zinc-binding"	ITGAV	"integrin, alpha V"		ITGAV
B2M_CD1A	B2M	beta-2-microglobulin	CD1A	CD1a molecule		
B2M_CD1B	B2M	beta-2-microglobulin	CD1B	CD1b molecule		
B2M_CD247	B2M	beta-2-microglobulin	CD247	CD247 molecule		
B2M_CD3D	B2M	beta-2-microglobulin	CD3D	"CD3d molecule, delta (CD3-TCR complex)"		
B2M_CD3G	B2M	beta-2-microglobulin	CD3G	"CD3g molecule, gamma (CD3-TCR complex)"		CD3G
B2M_HFE	B2M	beta-2-microglobulin	HFE	hemochromatosis		HFE
B2M_HLA-F	B2M	beta-2-microglobulin	HLA-F	"major histocompatibility complex, class I, F"		
B2M_KIR2DL1	B2M	beta-2-microglobulin	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"		KIR2DL1
B2M_KIR2DL3	B2M	beta-2-microglobulin	KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"		KIR2DL3
B2M_KIR3DL1	B2M	beta-2-microglobulin	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"		KIR3DL1
B2M_KLRC1	B2M	beta-2-microglobulin	KLRC1	"killer cell lectin-like receptor subfamily C, member 1"		KLRC1
B2M_KLRD1	B2M	beta-2-microglobulin	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"		KLRD1
B2M_LILRB1	B2M	beta-2-microglobulin	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"		LILRB1
B2M_LILRB2	B2M	beta-2-microglobulin	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"		LILRB2
B2M_TFRC	B2M	beta-2-microglobulin	TFRC	transferrin receptor		TFRC
BCAN_EGFR	BCAN	brevican	EGFR	epidermal growth factor receptor		EGFR
BCAN_NRCAM	BCAN	brevican	NRCAM	neuronal cell adhesion molecule		
BDNF_DDR1	BDNF	brain-derived neurotrophic factor	DDR1	discoidin domain receptor tyrosine kinase 1	BDNF	DDR1
BDNF_DRD4	BDNF	brain-derived neurotrophic factor	DRD4	dopamine receptor D4	BDNF	DRD4
BDNF_NGFR	BDNF	brain-derived neurotrophic factor	NGFR	nerve growth factor receptor	BDNF	NGFR
BDNF_NGFRAP1	BDNF	brain-derived neurotrophic factor	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	BDNF	NGFRAP1
BDNF_NTRK2	BDNF	brain-derived neurotrophic factor	NTRK2	"neurotrophic tyrosine kinase, receptor, type 2"	BDNF	NTRK2
BDNF_SORT1	BDNF	brain-derived neurotrophic factor	SORT1	sortilin 1	BDNF	SORT1
BGN_LY96	BGN	biglycan	LY96	lymphocyte antigen 96		LY96
BGN_TLR1	BGN	biglycan	TLR1	toll-like receptor 1		TLR1
BGN_TLR2	BGN	biglycan	TLR2	toll-like receptor 2		TLR2
BGN_TLR4	BGN	biglycan	TLR4	toll-like receptor 4		TLR4
BMP10_ACVR1	BMP10	bone morphogenetic protein 10	ACVR1	"activin A receptor, type I"	BMP10	ACVR1
BMP10_ACVR2A	BMP10	bone morphogenetic protein 10	ACVR2A	"activin A receptor, type IIA"	BMP10	ACVR2A
BMP10_ACVR2B	BMP10	bone morphogenetic protein 10	ACVR2B	"activin A receptor, type IIB"	BMP10	ACVR2B
BMP10_ACVRL1	BMP10	bone morphogenetic protein 10	ACVRL1	activin A receptor type II-like 1	BMP10	ACVRL1
BMP10_BMPR1A	BMP10	bone morphogenetic protein 10	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP10	BMPR1A
BMP10_BMPR1B	BMP10	bone morphogenetic protein 10	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP10	BMPR1B
BMP10_BMPR2	BMP10	bone morphogenetic protein 10	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP10	BMPR2
BMP10_ENG	BMP10	bone morphogenetic protein 10	ENG	endoglin		
BMP15_ACVR1	BMP15	bone morphogenetic protein 15	ACVR1	"activin A receptor, type I"	BMP15	ACVR1
BMP15_ACVR2A	BMP15	bone morphogenetic protein 15	ACVR2A	"activin A receptor, type IIA"	BMP15	ACVR2A
BMP15_ACVR2B	BMP15	bone morphogenetic protein 15	ACVR2B	"activin A receptor, type IIB"	BMP15	ACVR2B
BMP15_BMPR1A	BMP15	bone morphogenetic protein 15	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP15	BMPR1A
BMP15_BMPR1B	BMP15	bone morphogenetic protein 15	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP15	BMPR1B
BMP15_BMPR2	BMP15	bone morphogenetic protein 15	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP15	BMPR2
BMP2_ACVR1	BMP2	bone morphogenetic protein 2	ACVR1	"activin A receptor, type I"	BMP2	ACVR1
BMP2_ACVR2A	BMP2	bone morphogenetic protein 2	ACVR2A	"activin A receptor, type IIA"	BMP2	ACVR2A
BMP2_ACVR2B	BMP2	bone morphogenetic protein 2	ACVR2B	"activin A receptor, type IIB"	BMP2	ACVR2B
BMP2_BMPR1A	BMP2	bone morphogenetic protein 2	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP2	BMPR1A
BMP2_BMPR1B	BMP2	bone morphogenetic protein 2	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP2	BMPR1B
BMP2_BMPR2	BMP2	bone morphogenetic protein 2	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP2	BMPR2
BMP2_ENG	BMP2	bone morphogenetic protein 2	ENG	endoglin	BMP2	ENG
BMP2_HFE2	BMP2	bone morphogenetic protein 2	HFE2	hemochromatosis type 2 (juvenile)	BMP2	
BMP3_ACVR1	BMP3	bone morphogenetic protein 3	ACVR1	"activin A receptor, type I"		ACVR1
BMP3_ACVR2A	BMP3	bone morphogenetic protein 3	ACVR2A	"activin A receptor, type IIA"		ACVR2A
BMP3_ACVR2B	BMP3	bone morphogenetic protein 3	ACVR2B	"activin A receptor, type IIB"		ACVR2B
BMP3_BMPR1A	BMP3	bone morphogenetic protein 3	BMPR1A	"bone morphogenetic protein receptor, type IA"		BMPR1A
BMP3_BMPR1B	BMP3	bone morphogenetic protein 3	BMPR1B	"bone morphogenetic protein receptor, type IB"		BMPR1B
BMP3_BMPR2	BMP3	bone morphogenetic protein 3	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"		BMPR2
BMP4_ACVR1	BMP4	bone morphogenetic protein 4	ACVR1	"activin A receptor, type I"	BMP4	ACVR1
BMP4_ACVR2A	BMP4	bone morphogenetic protein 4	ACVR2A	"activin A receptor, type IIA"	BMP4	ACVR2A
BMP4_ACVR2B	BMP4	bone morphogenetic protein 4	ACVR2B	"activin A receptor, type IIB"	BMP4	ACVR2B
BMP4_BMPR1A	BMP4	bone morphogenetic protein 4	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP4	BMPR1A
BMP4_BMPR1B	BMP4	bone morphogenetic protein 4	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP4	BMPR1B
BMP4_BMPR2	BMP4	bone morphogenetic protein 4	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP4	BMPR2
BMP4_HFE2	BMP4	bone morphogenetic protein 4	HFE2	hemochromatosis type 2 (juvenile)	BMP4	
BMP5_ACVR1	BMP5	bone morphogenetic protein 5	ACVR1	"activin A receptor, type I"		ACVR1
BMP5_ACVR2A	BMP5	bone morphogenetic protein 5	ACVR2A	"activin A receptor, type IIA"		ACVR2A
BMP5_ACVR2B	BMP5	bone morphogenetic protein 5	ACVR2B	"activin A receptor, type IIB"		ACVR2B
BMP5_BMPR1A	BMP5	bone morphogenetic protein 5	BMPR1A	"bone morphogenetic protein receptor, type IA"		BMPR1A
BMP5_BMPR1B	BMP5	bone morphogenetic protein 5	BMPR1B	"bone morphogenetic protein receptor, type IB"		BMPR1B
BMP5_BMPR2	BMP5	bone morphogenetic protein 5	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"		BMPR2
BMP5_HFE2	BMP5	bone morphogenetic protein 5	HFE2	hemochromatosis type 2 (juvenile)		
BMP6_ACVR1	BMP6	bone morphogenetic protein 6	ACVR1	"activin A receptor, type I"	BMP6	ACVR1
BMP6_ACVR2A	BMP6	bone morphogenetic protein 6	ACVR2A	"activin A receptor, type IIA"	BMP6	ACVR2A
BMP6_ACVR2B	BMP6	bone morphogenetic protein 6	ACVR2B	"activin A receptor, type IIB"	BMP6	ACVR2B
BMP6_BMPR1A	BMP6	bone morphogenetic protein 6	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP6	BMPR1A
BMP6_BMPR1B	BMP6	bone morphogenetic protein 6	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP6	BMPR1B
BMP6_BMPR2	BMP6	bone morphogenetic protein 6	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP6	BMPR2
BMP7_ACVR1	BMP7	bone morphogenetic protein 7	ACVR1	"activin A receptor, type I"	BMP7	ACVR1
BMP7_ACVR2A	BMP7	bone morphogenetic protein 7	ACVR2A	"activin A receptor, type IIA"	BMP7	ACVR2A
BMP7_ACVR2B	BMP7	bone morphogenetic protein 7	ACVR2B	"activin A receptor, type IIB"	BMP7	ACVR2B
BMP7_BMPR1A	BMP7	bone morphogenetic protein 7	BMPR1A	"bone morphogenetic protein receptor, type IA"	BMP7	BMPR1A
BMP7_BMPR1B	BMP7	bone morphogenetic protein 7	BMPR1B	"bone morphogenetic protein receptor, type IB"	BMP7	BMPR1B
BMP7_BMPR2	BMP7	bone morphogenetic protein 7	BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	BMP7	BMPR2
BMP7_ENG	BMP7	bone morphogenetic protein 7	ENG	endoglin	BMP7	ENG
BMP8B_ACVR1	BMP8B	bone morphogenetic protein 8b	ACVR1	"activin A receptor, type I"		ACVR1
BMP8B_ACVR2A	BMP8B	bone morphogenetic protein 8b	ACVR2A	"activin A receptor, type IIA"		ACVR2A
BMP8B_ACVR2B	BMP8B	bone morphogenetic protein 8b	ACVR2B	"activin A receptor, type IIB"		ACVR2B
BMP8B_BMPR1A	BMP8B	bone morphogenetic protein 8b	BMPR1A	"bone morphogenetic protein receptor, type IA"		BMPR1A
BMP8B_BMPR1B	BMP8B	bone morphogenetic protein 8b	BMPR1B	"bone morphogenetic protein receptor, type IB"		BMPR1B
